CMDLINE C:\Users\63977\AppData\Local\Programs\Python\Python311\python.exe PolyVisionMain.py
MEM 228.753906 1690947156.6989
MEM 228.753906 1690947156.7991
MEM 228.753906 1690947156.8993
MEM 228.753906 1690947156.9998
MEM 228.753906 1690947157.1005
MEM 228.753906 1690947157.2008
MEM 228.753906 1690947157.3013
MEM 228.753906 1690947157.4019
MEM 228.753906 1690947157.5023
MEM 228.753906 1690947157.6028
MEM 228.753906 1690947157.7033
MEM 228.753906 1690947157.8038
MEM 228.753906 1690947157.9043
MEM 228.753906 1690947158.0047
MEM 228.753906 1690947158.1051
MEM 228.753906 1690947158.2055
MEM 228.753906 1690947158.3059
MEM 228.753906 1690947158.4063
MEM 228.753906 1690947158.5067
MEM 228.753906 1690947158.6072
MEM 228.753906 1690947158.7075
MEM 228.753906 1690947158.8078
MEM 228.753906 1690947158.9083
MEM 228.753906 1690947159.0085
MEM 228.753906 1690947159.1090
MEM 228.753906 1690947159.2093
MEM 228.753906 1690947159.3096
MEM 228.753906 1690947159.4103
MEM 228.753906 1690947159.5105
MEM 228.753906 1690947159.6108
MEM 228.753906 1690947159.7114
MEM 228.753906 1690947159.8119
MEM 228.753906 1690947159.9121
MEM 228.753906 1690947160.0124
MEM 228.753906 1690947160.1128
MEM 228.753906 1690947160.2132
MEM 228.753906 1690947160.3136
MEM 228.753906 1690947160.4141
MEM 228.753906 1690947160.5150
MEM 228.753906 1690947160.6154
MEM 228.753906 1690947160.7159
MEM 228.753906 1690947160.8169
MEM 228.753906 1690947160.9173
MEM 228.769531 1690947161.0178
MEM 228.769531 1690947161.1184
MEM 228.769531 1690947161.2191
MEM 228.769531 1690947161.3195
MEM 228.769531 1690947161.4201
MEM 228.769531 1690947161.5208
MEM 229.824219 1690947161.6211
MEM 228.785156 1690947161.7215
MEM 228.785156 1690947161.8220
MEM 228.785156 1690947161.9230
MEM 228.785156 1690947162.0236
MEM 228.785156 1690947162.1240
MEM 228.785156 1690947162.2245
MEM 228.785156 1690947162.3249
MEM 228.796875 1690947162.4252
MEM 228.796875 1690947162.5257
MEM 228.796875 1690947162.6264
MEM 228.796875 1690947162.7271
MEM 228.796875 1690947162.8276
MEM 228.796875 1690947162.9280
MEM 236.730469 1690947163.0282
MEM 260.910156 1690947163.1290
MEM 228.914062 1690947163.2294
MEM 228.914062 1690947163.3301
MEM 232.539062 1690947163.4309
MEM 232.601562 1690947163.5312
MEM 233.648438 1690947163.6316
MEM 233.734375 1690947163.7320
MEM 234.109375 1690947163.8322
MEM 234.109375 1690947163.9329
MEM 234.109375 1690947164.0332
MEM 235.035156 1690947164.1334
MEM 244.183594 1690947164.2340
MEM 244.183594 1690947164.3345
MEM 244.183594 1690947164.4351
MEM 244.183594 1690947164.5355
MEM 244.183594 1690947164.6360
MEM 244.183594 1690947164.7363
MEM 244.183594 1690947164.8367
MEM 244.183594 1690947164.9372
MEM 244.183594 1690947165.0376
MEM 244.183594 1690947165.1381
MEM 244.183594 1690947165.2385
MEM 244.183594 1690947165.3390
MEM 244.183594 1690947165.4393
MEM 244.183594 1690947165.5397
MEM 244.183594 1690947165.6401
MEM 244.183594 1690947165.7407
MEM 244.183594 1690947165.8411
MEM 244.183594 1690947165.9417
MEM 244.183594 1690947166.0422
MEM 244.183594 1690947166.1426
MEM 244.183594 1690947166.2433
MEM 244.183594 1690947166.3438
MEM 244.183594 1690947166.4444
MEM 244.183594 1690947166.5447
MEM 244.183594 1690947166.6450
MEM 251.503906 1690947166.7662
